group,n,fraud_rate,flag_rate,fpr,tpr
nan,11945,0.1350355797404772,0.1867727082461281,0.09494773519163763,0.7749535027898327
126.0,3032,0.015171503957783642,0.07025065963060687,0.06396517079705291,0.4782608695652174
472.0,1620,0.029012345679012345,0.07469135802469136,0.06039415130324221,0.5531914893617021
476.0,1827,0.012588943623426382,0.06349206349206349,0.05709534368070954,0.5652173913043478
181.0,2706,0.02771618625277162,0.06541019955654102,0.056632459141011025,0.37333333333333335
512.0,1722,0.047619047619047616,0.070267131242741,0.05426829268292683,0.3902439024390244
123.0,3317,0.01929454326198372,0.060596924932167624,0.05379649554257608,0.40625
420.0,728,0.03571428571428571,0.059065934065934064,0.04985754985754986,0.3076923076923077
204.0,8623,0.02412153542850516,0.05612895743940624,0.047890671420083186,0.3894230769230769
469.0,591,0.008460236886632826,0.05414551607445008,0.04778156996587031,0.8
177.0,829,0.038600723763570564,0.05790108564535585,0.04642409033877039,0.34375
225.0,1033,0.02516940948693127,0.05808325266214908,0.04568023833167825,0.5384615384615384
441.0,4290,0.029836829836829837,0.057342657342657345,0.04565112926477655,0.4375
191.0,3078,0.012020792722547108,0.051007147498375566,0.045050970075633016,0.5405405405405406
325.0,8690,0.02899884925201381,0.057422324510932106,0.04432329936003793,0.49603174603174605
330.0,6461,0.03188360934839808,0.0575762265903111,0.0442845723421263,0.46116504854368934
220.0,963,0.012461059190031152,0.04569055036344756,0.04311251314405889,0.25
433.0,1783,0.0179472798653954,0.045989904655075714,0.04283266704740148,0.21875
272.0,4027,0.029550533896200645,0.057114477278371,0.042221084953940634,0.5462184873949579
387.0,1686,0.01720047449584816,0.045077105575326216,0.04103802051901026,0.27586206896551724
231.0,1376,0.015261627906976744,0.047238372093023256,0.03911439114391144,0.5714285714285714
327.0,1661,0.016857314870559904,0.039735099337748346,0.0385793018983466,0.10714285714285714
226.0,924,0.012987012987012988,0.04329004329004329,0.03728070175438596,0.5
299.0,9031,0.018048942531281142,0.04329531613331857,0.03721244925575101,0.37423312883435583
337.0,3084,0.037937743190661476,0.047665369649805445,0.03640040444893832,0.3333333333333333
251.0,1109,0.0063119927862939585,0.0387736699729486,0.036297640653357534,0.42857142857142855
110.0,639,0.03442879499217527,0.056338028169014086,0.03565640194489465,0.6363636363636364
498.0,991,0.05751765893037336,0.054490413723511606,0.035331905781584586,0.3684210526315789
184.0,2824,0.015226628895184136,0.04001416430594901,0.034879539733908664,0.37209302325581395
203.0,824,0.01699029126213592,0.044902912621359224,0.0345679012345679,0.6428571428571429
143.0,1953,0.012800819252432157,0.03481822836661547,0.03112033195020747,0.32
269.0,1410,0.032624113475177303,0.04468085106382979,0.02932551319648094,0.5
315.0,4643,0.01873788498815421,0.03144518630195994,0.02655838454784899,0.28735632183908044
436.0,628,0.027070063694267517,0.03662420382165605,0.02618657937806874,0.4117647058823529
310.0,1775,0.014647887323943662,0.03436619718309859,0.025157232704402517,0.6538461538461539
485.0,1490,0.02953020134228188,0.042953020134228186,0.024896265560165973,0.6363636363636364
264.0,8112,0.018121301775147928,0.03242110453648915,0.02473320778405524,0.4489795918367347
205.0,1259,0.007942811755361398,0.020651310563939634,0.020016012810248198,0.1
494.0,1036,0.01447876447876448,0.019305019305019305,0.009794319294809012,0.6666666666666666
