roc_auc,pr_auc,precision@k,k,fold,train_rows,val_rows,best_iter
0.9279182841999044,0.6722586485882985,0.97,200,1,256647,41269,736
0.9013347673315422,0.5599808278693311,0.96,200,2,297916,49828,539
0.9265422041612573,0.6283679349896526,0.98,200,3,347744,42137,865
0.9334986864957968,0.6829308660712089,0.985,200,4,389881,44759,568
0.9413789069326783,0.6418596919716358,0.97,200,5,434640,37792,813
