threshold,tp,fp,fn,tn,alerts_day,precision,recall,savings_day,cost_day,net_day,within_capacity
0.001,4092,96721,0,2617,2877.955050306637,0.04059000327338736,1.0,20036.79440734119,14389.775251533187,5647.019155808002,False
0.006015075376884422,3926,42790,166,56548,1333.6231252926198,0.08403972942888946,0.9594330400782014,19223.962571657255,6668.115626463098,12555.846945194156,False
0.011030150753768845,3846,34376,246,64962,1091.141002974024,0.10062267803882581,0.9398826979472141,18832.236385785483,5455.70501487012,13376.531370915363,False
0.016045226130653265,3731,26365,361,72973,859.1643458088595,0.12396996278575226,0.9117790811339198,18269.129993594812,4295.821729044297,13973.308264550515,False
0.02106030150753769,3663,22905,429,76433,758.4489081422707,0.13787262872628725,0.8951612903225806,17936.162735603804,3792.2445407113537,14143.91819489245,False
0.02607537688442211,3548,17802,544,81536,609.4882636569362,0.16618266978922716,0.8670576735092864,17373.056343413133,3047.4413182846806,14325.615025128453,False
0.031090452261306533,3525,17034,567,82304,586.9072230689907,0.17145775572741864,0.8614369501466276,17260.435064974998,2934.5361153449535,14325.898949630044,False
0.03610552763819096,3389,13303,703,86035,476.51419657899663,0.20303139228372874,0.8282013685239492,16594.500548992983,2382.570982894983,14211.929566097999,False
0.04112060301507538,3306,11149,786,88189,412.65352932838465,0.22870978900034591,0.8079178885630498,16188.084631151018,2063.2676466419234,14124.816984509094,False
0.0461356783919598,3302,11060,790,88278,409.9986155803708,0.22991226848628324,0.8069403714565004,16168.49832185743,2049.993077901854,14118.505243955577,False
0.05115075376884422,3172,8528,920,90810,334.00527797593224,0.27111111111111114,0.7751710654936461,15531.943269815798,1670.026389879661,13861.916879936136,False
0.056165829145728645,3172,8528,920,90810,334.00527797593224,0.27111111111111114,0.7751710654936461,15531.943269815798,1670.026389879661,13861.916879936136,False
0.061180904522613065,3050,6553,1042,92785,274.141255077169,0.31760908049567843,0.7453567937438905,14934.560836361345,1370.706275385845,13563.8545609755,False
0.06619597989949749,3050,6553,1042,92785,274.141255077169,0.31760908049567843,0.7453567937438905,14934.560836361345,1370.706275385845,13563.8545609755,False
0.07121105527638191,3050,6553,1042,92785,274.141255077169,0.31760908049567843,0.7453567937438905,14934.560836361345,1370.706275385845,13563.8545609755,False
