feature,psi,severity
D15,0.05652190230974419,stable
C13,0.030328799106569583,stable
D1,0.027049719100696975,stable
card1_tx_count_24h,0.021842529973568857,stable
D2,0.021465391931964214,stable
card1_tx_count_7d,0.017641197006532074,stable
C1,0.012887048886712568,stable
C14,0.008881597070540963,stable
TransactionAmt,0.007659456384781189,stable
dist1,0.007209088869359726,stable
addr1,0.0027180424143800207,stable
TransactionDT,,stable
